NHSTID,DIVA_NR,Y_KOORD,X_KOORD,CHSTNAME,CNAME,VTYP,HSTTYP,HAFAS_PRIO,LINKTEXT,ZONEN,SYMB_CODE,SYMB_TEXT,LINIEN,E,N
8591305,2008,,,"Zürich, Probstei",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"7,N7",2686656,1250567
8590698,2287,,,"Kloten, Schulstrasse",Kloten,Bus,&nbsp;,0,,121,2,Bus,"731,736",2686663,1255640
8580877,2417,,,"Uster, Sonnenberg",Uster,Bus,&nbsp;,0,,131,2,Bus,"817,N81",2695503,1245138
8576110,6174,,,"Richterswil, Neuhus",Richterswil,Bus,&nbsp;,0,,153,2,Bus,"170,N29",2695728,1228964
8588836,6757,,,"Wollerau, Junkerweg",Wollerau,,&nbsp;,0,,181,99,,,2695865,1227495
8587696,6399,,,"Wollerau, Erlenmatte",Wollerau,,&nbsp;,0,,181,99,,,2696040,1227657
8503207,12060,,,Richterswil,Richterswil,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,153,1,Bahn,"S2,S8,SN8",2696176,1229345
8587860,3698,,,"Uster, Strick",Uster,Bus,&nbsp;,0,,131,2,Bus,"725,811",2696264,1245839
8588308,6341,,,"Richterswil, Schwyzerstrasse",Richterswil,,&nbsp;,0,,153,99,,,2696314,1228746
8503157,3801,,,"Gutenswil, Unterdorf",Gutenswil,Bus,&nbsp;,0,,130,2,Bus,"725,N72",2696338,1249013
8577512,6411,,,"Wollerau, Schwalbenboden",Wollerau,,&nbsp;,0,,181,99,,,2696355,1228487
8575958,1309,,,"Uster, Im Hölzli",Uster,Bus,&nbsp;,0,,131,2,Bus,"842,N84",2696410,1243958
8573812,6388,,,"Schindellegi, Pauli",Schindellegi,Bus,&nbsp;,0,,181,2,Bus,N29,2696825,1226650
8587687,2022,,,"Stäfa, Rain",Stäfa,Bus,&nbsp;,0,,143,2,Bus,950,2696980,1233470
8587685,1517,,,"Stäfa, Lattenberg",Stäfa,Bus,&nbsp;,0,,143,2,Bus,950,2696982,1233891
8503188,2741,,,"Mönchaltorf, Mönchhof",Mönchaltorf,Bus,&nbsp;,0,,142,2,Bus,"842,N84",2696997,1240865
8577524,6408,,,"Wollerau, Obermühle",Wollerau,,&nbsp;,0,,181,99,,,2697160,1227468
8587688,2897,,,"Stäfa, Wiesengrund",Stäfa,Bus,&nbsp;,0,,143,2,Bus,950,2697202,1233471
8576054,491,,,"Stäfa, Binz",Stäfa,Bus,&nbsp;,0,,143,2,Bus,"950,N92",2697288,1233954
8505296,7034,,,"Uster, Sportanlage",Uster,Bus,&nbsp;,0,,131,2,Bus,818,2697337,1246373
8588058,3687,,,"Uster, Wageren",Uster,Bus,&nbsp;,0,,131,2,Bus,"812,N81",2697350,1245359
8576066,1035,,,"Stäfa, Grund",Stäfa,Bus,&nbsp;,0,,143,2,Bus,"950,951,955,N95",2697456,1233018
8576063,1494,,,"Stäfa, Landi",Stäfa,Bus,&nbsp;,0,,143,2,Bus,"951,955,N95",2697962,1233010
8503359,1376,,,"Stäfa, Kehlhof",Stäfa,Bus,&nbsp;,0,,143,2,Bus,952,2698261,1232284
8592291,3383,,,"Freienbach, Obstgarten",Freienbach,Bus,&nbsp;,0,,181,2,Bus,189,2698954,1229119
8503302,10822,,,Fehraltorf,Fehraltorf,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,135,1,Bahn,"S19,S3,SN8",2699023,1249082
8573507,822,,,"Fehraltorf, Bahnhof",Fehraltorf,Bus,&nbsp;,0,,135,2,Bus,"827,831,832,N82",2699023,1249113
8576030,2752,,,"Gossau ZH, Unterhofen",Gossau ZH,Bus,&nbsp;,0,,132,2,Bus,"862,N86",2699478,1240302
8581271,6374,,,"Freienbach, Leutschen",Freienbach,Bus,&nbsp;,0,,181,2,Bus,189,2699614,1228902
8503566,816,,,"Pfäffikon ZH, Faichrüti",Pfäffikon ZH,Bus,&nbsp;,0,,135,2,Bus,"830,N72",2699745,1246281
8573535,2890,,,"Weisslingen, Widum",Weisslingen,Bus,&nbsp;,0,,170,2,Bus,832,2699940,1254580
8590445,6604,,,"Hombrechtikon, Niderfeld",Hombrechtikon,Bus,&nbsp;,0,,133,2,Bus,880,2699949,1234006
8503181,451,,,"Gossau ZH, Ernst-Brugger-Platz",Gossau ZH,Bus,&nbsp;,0,,132,2,Bus,"845,862,N86",2700160,1239831
8575936,1987,,,"Theilingen, Post",Theilingen,Bus,&nbsp;,0,,170,2,Bus,"826,832,N62",2700302,1253201
8503164,1046,,,"Hombrechtikon, Grüt",Hombrechtikon,Bus,&nbsp;,0,,133,2,Bus,955,2700319,1233380
8590444,6603,,,"Hombrechtikon, Dörfli",Hombrechtikon,Bus,&nbsp;,0,,133,2,Bus,880,2700322,1234194
8575934,1535,,,"Weisslingen, Lendikerstrasse",Weisslingen,Bus,&nbsp;,0,,170,2,Bus,640,2700417,1254081
